Marca temporal;Autorizo;®Planea usted iniciar estudios universitarios en los pr¢ximos dos a§os?;®Cu†l es su edad? ;GÇnero ;Grado que cursa actualmente  o titulo profesional obtenido;Tipo de instituci¢n Educativa;Nombre del establecimiento educativo en el cual esta estudiando o es Egresado(a) ;Departamento donde reside;Municipio  donde reside;®Ha cursado estudios complementarios en programaci¢n o an†lisis de datos?;"®Cu†l es el nivel de adopci¢n de IA en su organizaci¢n o establecimiento educativo? 
Donde 1 (Nulo o Inexistente) y 5 (Muy alto o Avanzado) ";®Considera que la IA transformar† la mayor°a de los empleos en la pr¢xima dÇcada?;®Cree usted que la regi¢n Orinoqu°a requiere m†s profesionales especializados en IA?;®Esta de acuerdo con que los riesgos Çticos de la IA deben abordarse en los planes de estudio?;"®QuÇ tan familiarizado(a) est†s con la ?inteligencia artificial??
Donde 1 (Nada familiarizado(a)) y 5 (Muy familiarizado(a)) ";®Ha usado aplicaciones con IA (Chat GPT, Gemini, Copilot, filtros de fotos, chatbots. etc)?  ;®QuÇ tan importante cree que ser† aprender a programar para tu futuro?  ;®Le gustar°a participar en proyectos escolares con robots, drones o apps que usen IA?  ; ®En quÇ †reas cree que la IA puede ayudar a tu comunidad?  ;®Cu†l de los siguientes programas acadÇmicos  relacionados con tecnolog°a inform†tica ser°a su primera opci¢n de inscripci¢n?  Escoger solo uno;®Estar°a dispuesto a matricularse en el programa de Ingenier°a en IA en Unitropico?;®QuÇ nivel de importancia tiene para usted el costo de la matr°cula? ;®QuÇ tan relevante es la cercan°a del del campus universitario a su lugar de residencia? ;®Cu†nta importancia otorga usted al prestigio de la universidad para realizar el programa de ingenier°a en IA?  ;En el mercado laboral actual, ®QuÇ tan probable considera que un egresado de Ingenier°a en Inteligencia Artificial obtenga empleo en su campo? ;®QuÇ relevancia tiene para usted la disponibilidad de becas u otros apoyos financieros?  ;Puntuaci¢n
9/5/2025 8:52:38;Si;Si;18 - 22 a§os;Masculino;Once;Oficial (P£blica);Solmeria Builes ;Vichada;La primavera Vichada ;No;1;1;1;En desacuerdo;3;3;5;Si, Tal vez;Educaci¢n;Ingenier°a en Telecomunicaciones;Tal vez;Muy importante;Muy importante;Importante;Muy probable;5;
9/5/2025 8:54:53;Si;Si;18 - 22 a§os;Masculino;Once;Oficial (P£blica);Solmerida Builes ;Vichada;La primavera vichada ;No;1;5;5;De acuerdo;5;5;5;Tal vez;Agricultura;Ingenier°a Electr¢nica;Tal vez;Importante;Moderado;Poco;Poco probable;5;
9/5/2025 8:55:06;Si;Si;18 - 22 a§os;Femenino;Once;Oficial (P£blica);Instituci¢n Educativa Solmerida Builas ;Vichada;La primavera vichada ;No;3;3;3;Ni de acuerdo ni en desacuerdo;3;3;3;Si;Educaci¢n;Ingenier°a de Sistemas;Si;Moderado;Poco;Moderado;Poco probable;3;
9/5/2025 9:42:11;Si;Si;18 - 22 a§os;Masculino;Once;Oficial (P£blica);IE LUCILA PIRAGAUTA;Casanare;Yopal;Si;3;3;3;Ni de acuerdo ni en desacuerdo;3;5;5;Si;Seguridad;Ingenier°a Electr¢nica;Si;Moderado;Moderado;Importante;Probable;4;
9/5/2025 9:49:10;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);Institucion Educatuca Lucila Piragauta;Casanare;Yopal ;No;2;4;4;Ni de acuerdo ni en desacuerdo;3;5;5;Si;Entretenimiento, Seguridad;Ingenier°a de Sistemas;Tal vez;Moderado;Moderado;Importante;Probable;5;
9/5/2025 10:03:59;Si;Si;18 - 22 a§os;Masculino;Once;Oficial (P£blica);Lucila Piragauta;Casanare;Yopal;No;2;3;3;De acuerdo;4;5;3;Tal vez;Medio ambiente, Salud, Entretenimiento, Seguridad;Ingenier°a Mecatr¢nica;Tal vez;Importante;Moderado;Moderado;Neutral / No estoy seguro(a);3;
9/5/2025 11:24:14;Si;No sabe;Menos de 17 a§os;Femenino;Decimo;Oficial (P£blica);Luis Hern†ndez vargas ;Casanare;Yopal;No;4;4;3;Ni de acuerdo ni en desacuerdo;4;5;4;Tal vez;Medio ambiente, Salud, Educaci¢n, Entretenimiento;Ingenier°a de Sistemas;Tal vez;Importante;Moderado;Moderado;Neutral / No estoy seguro(a);3;
9/5/2025 12:05:09;Si;Si;18 - 22 a§os;Masculino;Bachiller graduado;No Oficial (privada);Liceo la presentaci¢n-Sogamoso ;Casanare;Yopal ;No;3;5;5;Totalmente en desacuerdo;5;5;5;Si;Salud, Educaci¢n;Ingenier°a en Inteligencia Artificial;Si;Moderado;Moderado;Muy importante;Muy probable;5;
9/5/2025 13:11:04;Si;Si;18 - 22 a§os;Masculino;Once;Oficial (P£blica);Instituci¢n Educativa Lucila Piragauta ;Casanare;Yopal ;No;2;3;3;Totalmente de acuerdo;4;4;2;Tal vez;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad, Otro;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;No;Muy importante;Muy importante;Moderado;Neutral / No estoy seguro(a);5;
9/5/2025 13:53:47;Si;Si;18 - 22 a§os;Femenino;Once;Oficial (P£blica);Solmerida builes;Vichada;La primavera ;No;2;2;1;Ni de acuerdo ni en desacuerdo;4;5;4;Si;Educaci¢n;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;Tal vez;Muy importante;Muy importante;Muy importante;Muy probable;5;
9/5/2025 13:56:03;Si;No sabe;18 - 22 a§os;Femenino;Once;Oficial (P£blica);INSTITUCI‡N EDUCATIVA LUCILA PIRAGAUTA;Casanare;Yopal;No;3;5;5;Totalmente de acuerdo;4;5;4;Tal vez;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad;Ingenier°a en Telecomunicaciones;Tal vez;Importante;Moderado;Importante;Neutral / No estoy seguro(a);5;
9/5/2025 18:41:26;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);Lucila Piragauta ;Casanare;Yopal ;No;5;4;4;Totalmente de acuerdo;4;4;5;No;Salud, Agricultura;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;Tal vez;Muy importante;Muy importante;Moderado;Neutral / No estoy seguro(a);5;
9/5/2025 23:10:01;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);Instituci¢n educativa Solmerida builes ;Vichada;La primavera ;No;2;3;3;De acuerdo;3;2;5;Si;Salud, Educaci¢n, Agricultura;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;Tal vez;Muy importante;Importante;Moderado;Neutral / No estoy seguro(a);4;
9/7/2025 11:03:08;Si;Si;Menos de 17 a§os;Femenino;Decimo;No Oficial (privada);liceo la presentaci¢n sogamoso ;Boyac†;sogamoso ;No;2;4;2;De acuerdo;5;5;4;Tal vez;Salud, Educaci¢n, Entretenimiento;Ingenier°a en Inteligencia Artificial;Si;Muy importante;Muy importante;Muy importante;Probable;5;
9/7/2025 11:10:30;Si;Si;Menos de 17 a§os;Femenino;Decimo;No Oficial (privada);Liceo La Presentaci¢n Sogamoso ;Boyac†;Tibasosa ;No;2;4;3;De acuerdo;4;5;5;Si;Salud, Educaci¢n, Entretenimiento, Seguridad, Otro;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;Si;Importante;Poco;Moderado;Neutral / No estoy seguro(a);5;
9/7/2025 11:31:09;Si;Si;Menos de 17 a§os;Femenino;Decimo;No Oficial (privada);Liceo la Presentaci¢n sogamoso ;Boyac†;Sogamoso ;No;5;5;5;Totalmente de acuerdo;4;5;5;Si;Educaci¢n;Ingenier°a en Inteligencia Artificial;Si;Moderado;Moderado;Importante;Probable;4;
9/7/2025 12:24:13;Si;Si;Menos de 17 a§os;Femenino;Once;No Oficial (privada);Liceo la presentaci¢n ;Boyac†;Sogamoso;Si;3;5;5;Totalmente de acuerdo;5;5;5;Si;Medio ambiente, Educaci¢n, Seguridad;Ingenier°a en Inteligencia Artificial;Si;Importante;Importante;Importante;Muy probable;4;
9/7/2025 12:25:23;Si;Si;Menos de 17 a§os;Femenino;Once;No Oficial (privada);Liceo la presentaci¢n sogamoso ;Boyac†;Sogamoso ;Si, No;3;4;4;De acuerdo;4;5;5;Si;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento;Ingenier°a en Inteligencia Artificial;Si;Importante;Moderado;Importante;Probable;4;
9/7/2025 12:30:01;Si;Si;Menos de 17 a§os;Femenino;Noveno ;No Oficial (privada);Liceo la presentaci¢n ;Boyac†;Sogamoso ;No;3;4;4;De acuerdo;3;5;5;Tal vez;Salud, Otro;Ingenier°a de Sistemas;Tal vez;Moderado;Poco;Moderado;Neutral / No estoy seguro(a);4;
9/7/2025 12:33:18;Si;Si;Menos de 17 a§os;Masculino;Decimo;No Oficial (privada);Liceo la Presentacion Sogamoso;Boyac†;Sogamoso;No;5;5;5;De acuerdo;5;5;5;Si;Educaci¢n;Ingenier°a de Sistemas;Si;Moderado;Moderado;Importante;Muy probable;5;
9/7/2025 12:40:10;Si;Si;18 - 22 a§os;Masculino;Bachiller graduado;Oficial (P£blica);Integrado Joaqu°n Gonz†lez Camargo ;Boyac†;Sogamoso ;Si;2;4;5;Ni de acuerdo ni en desacuerdo;2;1;5;Si;Entretenimiento;Ingenier°a de Sistemas;Tal vez;Importante;Poco;Moderado;Neutral / No estoy seguro(a);5;
9/7/2025 12:40:53;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);Celco;Boyac†;Sogmoso;Si;5;3;3;Ni de acuerdo ni en desacuerdo;3;5;3;Si;Educaci¢n, Entretenimiento;Ingenier°a en Inteligencia Artificial;Tal vez;Moderado;Moderado;Moderado;Probable;3;
9/7/2025 16:13:47;Si;Si;18 - 22 a§os;Femenino;Bachiller graduado;No Oficial (privada);Colegio Alejandro Magno;Otro;Bogot† ;Si;3;5;5;Totalmente de acuerdo;5;5;4;Tal vez;Educaci¢n, Entretenimiento, Seguridad;Ingenier°a en Inteligencia Artificial;Tal vez;Moderado;Importante;Importante;Muy probable;4;
9/7/2025 16:44:43;Si;Si;Menos de 17 a§os;Femenino;Decimo;No Oficial (privada);Liceo de la presentaci¢n ;Boyac†;Sogamoso ;No;5;5;2;De acuerdo;5;5;4;Tal vez;Educaci¢n;Ciencia de Datos;Si;Poco;Importante;Importante;Neutral / No estoy seguro(a);4;
9/7/2025 20:17:56;Si;Si;Menos de 17 a§os;Femenino;Decimo;No Oficial (privada);Liceo La Presentaci¢n Sogamoso;Boyac†;Sogamoso;No;3;3;4;Totalmente de acuerdo;2;3;4;Si;Educaci¢n, Entretenimiento;Ingenier°a en Telecomunicaciones;Tal vez;Moderado;Importante;Moderado;Neutral / No estoy seguro(a);4;
9/7/2025 21:17:35;Si;Si;Menos de 17 a§os;Femenino;Decimo;No Oficial (privada);Alejandro de humboldt;Boyac†;Sogamoso ;Si;3;4;3;Ni de acuerdo ni en desacuerdo;2;5;5;Si;Educaci¢n, Entretenimiento;Ingenier°a en Ciberseguridad;Si;Moderado;Muy importante;Importante;Neutral / No estoy seguro(a);4;
9/8/2025 22:16:15;Si;Si;Mayor de 46 a§os;Femenino;Maestr°a ;No Oficial (privada);Universidad cooperativa de colombia;Casanare;Yopal  Casanare ;No;2;5;5;Totalmente de acuerdo;4;4;5;Tal vez;Medio ambiente, Salud, Educaci¢n, Agricultura, Seguridad;Ingenier°a en Inteligencia Artificial;Tal vez;Moderado;Moderado;Importante;Muy probable;5;
9/9/2025 16:43:47;Si;No sabe;Menos de 17 a§os;Masculino;Noveno;No Oficial (privada);Reyes Patria;Boyac†;Sogamoso ;No;1;3;4;Totalmente de acuerdo;3;5;4;Tal vez;Medio ambiente, Salud, Educaci¢n, Entretenimiento, Seguridad;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;Tal vez;Importante;Moderado;Muy importante;Muy probable;5;
9/9/2025 16:52:44;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);I.E Braulio Gonz†les ;Casanare;Yopal;No;2;3;3;De acuerdo;3;5;4;Tal vez;Salud, Educaci¢n, Entretenimiento, Seguridad;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;Tal vez;Muy importante;Moderado;Moderado;Probable;4;
9/9/2025 21:19:09;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);Braulio Gonz†lez ;Casanare;Yopal ;Si;2;3;3;Ni de acuerdo ni en desacuerdo;3;4;4;Si, No;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad;Ingenier°a de Sistemas;Tal vez;Moderado;Importante;Moderado;Neutral / No estoy seguro(a);3;
9/10/2025 9:42:19;Si;No sabe;18 - 22 a§os;Femenino;Once;Oficial (P£blica);Solmerida Builes ;Vichada;La primavera ;Si;1;2;2;De acuerdo;1;1;1;Si;Educaci¢n;Ingenier°a en Inteligencia Artificial;Si;Importante;Poco;Poco;Probable;4;
9/12/2025 9:54:01;Si;Si;18 - 22 a§os;Femenino;Once;Oficial (P£blica);Solmerida Builes ;Vichada;La primavera ;Si;4;5;4;Ni de acuerdo ni en desacuerdo;3;5;5;Si;Educaci¢n;Ingenier°a en Inteligencia Artificial;Tal vez;Poco;Moderado;Moderado;Neutral / No estoy seguro(a);4;
9/15/2025 6:54:46;Si;No;Menos de 17 a§os;Masculino;Once;Oficial (P£blica);ITEY;Casanare;Yopal;No;1;4;3;Ni de acuerdo ni en desacuerdo;5;5;3;Si;Otro;Ingenier°a Electr¢nica;Tal vez;Muy importante;Muy importante;Muy importante;Nada probable;5;
9/15/2025 6:55:16;Si;Si;Menos de 17 a§os;Masculino;Once;Oficial (P£blica);ITEY;Casanare;yopal ;No;1;5;5;De acuerdo;5;5;5;No, Tal vez;Otro;Ingenier°a en Inteligencia Artificial;Si;Poco;Poco;Poco;Probable;4;
9/15/2025 6:55:42;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);Itey;Casanare;Yopal;No;3;4;3;De acuerdo;5;4;4;Tal vez;Medio ambiente, Educaci¢n, Entretenimiento;Ingenier°a Mecatr¢nica;No;Importante;Importante;Importante;Neutral / No estoy seguro(a);5;
9/15/2025 6:55:57;Si;Si;Menos de 17 a§os;Masculino;Once;Oficial (P£blica);Instituto TÇcnico empresarial el Yopal ;Casanare;Yopal ;Si;3;3;3;De acuerdo;4;5;5;Si;Educaci¢n, Seguridad;Ingenier°a de Sistemas;Tal vez;Moderado;Moderado;Importante;Neutral / No estoy seguro(a);3;
9/15/2025 6:55:58;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);Itey ;Casanare;Yopal ;No;4;3;3;Totalmente de acuerdo;3;5;4;No;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad, Otro;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;No;Nada Importante;Nada importante;Nada importante;Probable;3;
9/15/2025 6:56:09;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);Itey;Casanare;Yopal;Si;3;5;4;De acuerdo;3;5;5;Si;Salud, Agricultura, Seguridad;Ingenier°a Multimedia;Tal vez;Importante;Moderado;Muy importante;Muy probable;3;
9/15/2025 6:56:10;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);INSTITUTO TêCNICO EMPRESARIAL ;Casanare;Yopal;Si;3;1;1;Totalmente en desacuerdo;3;1;5;Tal vez;Seguridad;Ingenier°a en Inteligencia Artificial;Si;Nada Importante;Moderado;Muy importante;Muy probable;5;
9/15/2025 6:56:12;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);Instituto tÇcnico empresarial el yopal;Casanare;Yopal;No;1;5;5;Totalmente de acuerdo;4;5;5;Tal vez;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad, Otro;Ingenier°a en Automatizaci¢n;Tal vez;Moderado;Moderado;Muy importante;Probable;5;
9/15/2025 6:56:55;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);ITEY ;Casanare;Yopal;No;3;4;3;De acuerdo;4;5;4;Si;Medio ambiente, Entretenimiento;Ingenier°a en Inteligencia Artificial;Tal vez;Moderado;Moderado;Moderado;Neutral / No estoy seguro(a);3;
9/15/2025 6:56:56;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);ITEY;Casanare;Yopal;No;3;4;2;Totalmente de acuerdo;3;5;4;No;Otro;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;No;Moderado;Moderado;Moderado;Probable;4;
9/15/2025 6:57:05;Si;Si;18 - 22 a§os;Femenino;Once;Oficial (P£blica);Itey;Casanare;Yopal ;No;3;3;3;Ni de acuerdo ni en desacuerdo;3;3;3;Tal vez;Medio ambiente, Educaci¢n, Entretenimiento;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;Tal vez;Importante;Importante;Moderado;Neutral / No estoy seguro(a);4;
9/15/2025 6:57:15;Si;No sabe;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);Itey;Otro;Yopal Casanare ;No;3;3;3;De acuerdo;3;3;4;Tal vez;Educaci¢n, Otro;Ingenier°a en Automatizaci¢n;Tal vez;Importante;Importante;Importante;Neutral / No estoy seguro(a);4;
9/15/2025 6:58:05;Si;Si;Menos de 17 a§os;Masculino;Once;Oficial (P£blica);ITEY;Casanare;Yopal;No;1;4;4;De acuerdo;4;5;5;Si;Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad, Otro;Ingenier°a Mecatr¢nica;Tal vez;Moderado;Importante;Moderado;Poco probable;5;
9/15/2025 6:58:06;Si;Si;18 - 22 a§os;Masculino;Once;Oficial (P£blica);Itey;Casanare;Yopal;No;5;5;5;Ni de acuerdo ni en desacuerdo;3;5;5;Si;Educaci¢n;Ingenier°a de Sistemas;Si;Importante;Importante;Moderado;Neutral / No estoy seguro(a);5;
9/15/2025 6:58:08;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);ITEY;Casanare;Yopal;No;2;3;3;Ni de acuerdo ni en desacuerdo;2;2;4;Si;Otro;Ingenier°a en Automatizaci¢n;Si;Moderado;Moderado;Moderado;Neutral / No estoy seguro(a);2;
9/15/2025 6:58:15;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);Instituto tÇcnico empresarial el yopal ;Casanare;Yopal ;No;3;4;3;De acuerdo;2;3;3;Tal vez;Educaci¢n, Seguridad;Ingenier°a de Sistemas;Tal vez;Moderado;Poco;Moderado;Probable;3;
9/15/2025 6:58:20;Si;Si;Menos de 17 a§os;Masculino;Once;Oficial (P£blica);Itey;Casanare;Yopal;No;2;4;4;De acuerdo;4;4;5;Si;Salud, Educaci¢n, Entretenimiento, Seguridad;Ingenier°a en Automatizaci¢n;Tal vez;Muy importante;Importante;Importante;Neutral / No estoy seguro(a);5;
9/15/2025 6:58:39;Si;Si;Menos de 17 a§os;Masculino;Once;Oficial (P£blica);Itey ;Casanare;Yopal;No;2;4;3;Ni de acuerdo ni en desacuerdo;2;5;5;Si;Medio ambiente;Ingenier°a Electr¢nica;Si;Muy importante;Importante;Importante;Poco probable;1;
9/15/2025 6:58:50;Si;Si;Menos de 17 a§os;Masculino;Once;Oficial (P£blica);ITEY;Casanare;Yopal;No;4;4;4;Ni de acuerdo ni en desacuerdo;5;5;4;Tal vez;Educaci¢n;Ingenier°a Electr¢nica;Tal vez;Moderado;Moderado;Moderado;Neutral / No estoy seguro(a);2;
9/15/2025 7:00:24;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);Itey;Casanare;Yopal ;No;1;3;2;Ni de acuerdo ni en desacuerdo;2;2;3;Tal vez;Otro;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;Tal vez;Moderado;Moderado;Moderado;Neutral / No estoy seguro(a);3;
9/15/2025 7:00:30;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);Instituto TÇcnico Empresarial El Yopal ;Casanare;Yopal ;Si;3;4;3;Ni de acuerdo ni en desacuerdo;3;5;3;Tal vez;Medio ambiente, Educaci¢n, Entretenimiento;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;Tal vez;Moderado;Importante;Importante;Neutral / No estoy seguro(a);4;
9/15/2025 7:08:27;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);Itey;Casanare;Yopal;Si, No;3;4;4;De acuerdo;3;5;4;Tal vez;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad;Ingenier°a en Inteligencia Artificial;Tal vez;Moderado;Moderado;Importante;Neutral / No estoy seguro(a);5;
9/15/2025 7:09:46;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);Instituto tecnico empresarial el yopal (ITEY);Casanare;Yopal ;No;4;3;4;Ni de acuerdo ni en desacuerdo;3;5;3;Si;Medio ambiente, Educaci¢n, Entretenimiento;Ingenier°a de Sistemas;Tal vez;Importante;Moderado;Poco;Neutral / No estoy seguro(a);4;
9/15/2025 7:10:46;Si;No sabe;Menos de 17 a§os;Masculino;Once;Oficial (P£blica);ITEY;Casanare;Yopal;No;1;4;4;De acuerdo;3;5;3;Tal vez;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad, Otro;Ingenier°a en Telecomunicaciones;No;Moderado;Moderado;Moderado;Neutral / No estoy seguro(a);5;
9/15/2025 7:10:52;Si;Si;Menos de 17 a§os;Masculino;Once;Oficial (P£blica);ITEY;Casanare;Yopal;No;5;5;4;De acuerdo;4;4;5;Si;Educaci¢n, Seguridad, Otro;Ciencia de Datos;Tal vez;Muy importante;Poco;Moderado;Probable;5;
9/15/2025 7:11:11;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);ITEY;Casanare;YOPAL;No;5;3;3;Ni de acuerdo ni en desacuerdo;5;5;3;Tal vez;Educaci¢n, Entretenimiento, Seguridad;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;No;Moderado;Importante;Moderado;Neutral / No estoy seguro(a);3;
9/15/2025 7:11:12;Si;Si;Menos de 17 a§os;Masculino;Once;Oficial (P£blica);Itey;Casanare;Yopal;No;2;5;5;Totalmente de acuerdo;5;5;5;Tal vez;Educaci¢n;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;No;Importante;Importante;Moderado;Neutral / No estoy seguro(a);5;
9/15/2025 7:11:16;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);Itey ;Casanare;Yopal;No;3;4;4;Ni de acuerdo ni en desacuerdo;3;5;3;Tal vez;Educaci¢n;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;Tal vez;Nada Importante;Nada importante;Moderado;Probable;3;
9/15/2025 7:11:21;Si;No sabe;Menos de 17 a§os;Masculino;Once;Oficial (P£blica);Instituto tÇcnico empresarial el yopal;Casanare;Yopal;No;3;4;4;De acuerdo;4;5;4;Si;Medio ambiente, Salud, Educaci¢n, Entretenimiento, Seguridad;Ingenier°a en Telecomunicaciones;Si;Importante;Moderado;Importante;Probable;5;
9/15/2025 7:11:54;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);Itey;Casanare;Yopal;No;1;3;2;De acuerdo;5;5;3;Si;Salud;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;No;Importante;Importante;Poco;Neutral / No estoy seguro(a);5;
9/15/2025 7:11:57;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);itey;Casanare;Yopal;Si;4;3;3;Ni de acuerdo ni en desacuerdo;4;4;4;Tal vez;Educaci¢n, Entretenimiento, Otro;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;Tal vez;Importante;Moderado;Moderado;Neutral / No estoy seguro(a);5;
9/15/2025 7:11:59;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);ITEY;Casanare;Yopal;No;4;4;2;Ni de acuerdo ni en desacuerdo;5;5;2;No;Salud, Educaci¢n;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;No;Nada Importante;Poco;Poco;Probable;5;
9/15/2025 7:12:09;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);ITEY ;Casanare;Yopal;No;5;3;3;Ni de acuerdo ni en desacuerdo;5;5;3;Si;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;Tal vez;Moderado;Moderado;Moderado;Neutral / No estoy seguro(a);5;
9/15/2025 7:12:23;Si;Si;Menos de 17 a§os;Femenino;Undecimo;Oficial (P£blica);Unitropico/Unirreminto ;Casanare;Yopal;Si;1;3;3;De acuerdo;4;4;4;Si;Educaci¢n, Agricultura, Entretenimiento, Seguridad;Ingenier°a en Inteligencia Artificial;Si;Moderado;Moderado;Poco;Poco probable;3;
9/15/2025 7:12:45;Si;Si;18 - 22 a§os;Femenino;Once;Oficial (P£blica);Itey ;Casanare;Yopal /casanare;No;4;5;4;Ni de acuerdo ni en desacuerdo;5;5;5;Tal vez;Educaci¢n;Ingenier°a en Inteligencia Artificial;Tal vez;Muy importante;Importante;Importante;Probable;5;
9/15/2025 7:12:48;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);ITEY;Casanare;Yopal;No;4;5;5;Totalmente de acuerdo;5;5;5;Tal vez;Medio ambiente, Salud, Educaci¢n, Agricultura, Entretenimiento, Seguridad;Ingenier°a de Sistemas;No;Muy importante;Importante;Moderado;Poco probable;5;
9/15/2025 7:12:54;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);ITEY;Casanare;Yopal;No;2;3;3;De acuerdo;3;3;4;Si;Entretenimiento;Ingenier°a en Telecomunicaciones;Si;Moderado;Moderado;Moderado;Probable;3;
9/15/2025 7:12:59;Si;No sabe;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);ITEY;Casanare;Yopal;Si;4;4;5;Ni de acuerdo ni en desacuerdo;5;5;3;Tal vez;Educaci¢n;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;No;Moderado;Importante;Poco;Neutral / No estoy seguro(a);4;
9/15/2025 7:13:05;Si;Si;18 - 22 a§os;Femenino;Once;Oficial (P£blica);"Instituto tÇcnico empresarial ""el yopal"" itey";Casanare;Yopal;No;3;3;3;Ni de acuerdo ni en desacuerdo;5;5;4;Tal vez;Educaci¢n, Entretenimiento, Seguridad;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;Tal vez;Importante;Poco;Moderado;Neutral / No estoy seguro(a);5;
9/15/2025 7:13:20;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);INSTITUTO TêCNICO EMPRESARIAL EL YOPAL ;Casanare;Yopal ;Si;4;4;4;De acuerdo;3;5;5;Si;Medio ambiente, Salud, Seguridad, Otro;Ingenier°a en Inteligencia Artificial;Tal vez;Moderado;Importante;Importante;Neutral / No estoy seguro(a);4;
9/15/2025 7:13:57;Si;Si;Menos de 17 a§os;Femenino;Once;Oficial (P£blica);Instituto tÇcnico empresarial ?el Yopal? (Itey);Casanare;Yopal;No;2;2;2;De acuerdo;2;5;3;No;Entretenimiento;Estoy interesado(a) en explorar otras disciplinas acadÇmicas fuera de la tecnolog°a;No;Importante;Moderado;Moderado;Neutral / No estoy seguro(a);3;
